name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
mumbai,2024-04-21,32.7,27.9,30.4,38.6,30.7,32.9,20.5,56.7,0,0,0,,0,0,38.5,19.8,316.5,1007.7,30.2,3.4,289,24.7,10,15,2024-04-21T06:17:03,2024-04-21T18:57:55,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"8TAO,VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2024-04-22,33.4,28,30.6,38.9,31.4,34.1,22.1,61.8,0,0,0,,0,0,34.6,21.8,305.1,1008.3,29.2,3.6,296.9,25.5,9,8,2024-04-22T06:16:22,2024-04-22T18:58:12,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2024-04-23,33,27.7,30.1,38.9,30.2,33.7,22.4,63.9,0,0,0,,0,0,38.2,19,311.1,1007.2,10.9,3.3,307.3,26.5,10,5,2024-04-23T06:15:42,2024-04-23T18:58:30,0.48,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2024-04-24,32.7,27.2,30,39.7,29.8,34.9,23.9,70.2,0,0,0,,0,0,34.6,21.1,306.4,1006.3,22.8,3.3,303.1,26.1,10,15,2024-04-24T06:15:02,2024-04-24T18:58:49,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2024-04-25,33.9,27.6,30.4,38.2,32,34.5,23.1,66.8,0,0,0,,0,0,37.8,22.3,300.4,1006.8,14.3,3.2,298.7,25.8,10,15,2024-04-25T06:14:23,2024-04-25T18:59:07,0.55,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2024-04-26,34.2,28,31.1,42.2,32,35.9,23.2,64.7,0,0,0,,0,0,34.2,23,297.1,1006.5,27.3,3.3,298.4,25.8,9,8,2024-04-26T06:13:45,2024-04-26T18:59:26,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2024-04-27,35,28.3,31.9,43.9,31.5,37,23.3,61.3,0,0,0,,0,0,35.6,21.8,314.3,1006.5,19.8,3.3,303.6,26.1,10,30,2024-04-27T06:13:07,2024-04-27T18:59:45,0.62,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2024-04-28,37,29,33.5,42.5,32,37,20.9,49.7,0,0,0,,0,0,43.2,31,324.5,1006.4,1,3.1,301,25.9,10,30,2024-04-28T06:12:31,2024-04-28T19:00:04,0.65,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2024-04-29,38,29.4,33.8,39,31.1,35.2,17.3,40.5,0,0,0,,0,0,37.4,24.9,330.4,1007.7,8.9,3.4,306.9,26.3,10,15,2024-04-29T06:11:55,2024-04-29T19:00:23,0.69,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2024-04-30,37,29,32.6,43.2,33,36.1,21.3,53.1,0,0,0,,0,0,34.9,20.5,320.6,1006.6,9.1,3.3,304.9,26.4,10,30,2024-04-30T06:11:19,2024-04-30T19:00:43,0.72,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,AUBD,43003099999,43057099999,43060099999"
